id	preprotext	irony
509712824361570304	zero notizie decreto TOPIC_tfaordinario II ciclo zero notizie prove scritte . Alla faccia de TOPIC_labuonascuola . TOPIC_matteorenzi cosa stai aspettando ?	1
511658751427108866	x il ministro Giannini questo è l' anno della buona scuola , che è cambiato ? ci ha messo lo zucchero ? EMOJI_640 si possono più sentire tante str . .	1
507406864980901888	WOW ! ! ! Tra tre anni , FORSE , ci danno 60 euro ! ! ! Forza che da qui a un secolo raggiungiamo gli stipendi dei colleghi europei ! TOPIC_labuonascuola	1
518755434505568256	Wifi assente , nuovi modi di fare scuola , ( im ) preparazione del corpo docente . TOPIC_labuonascuola URL_TOKEN AUTHOR_TOKEN TOPIC_ischool	0
515282234371502081	Web-design tutto bello e colorato , ma TOPIC_labuonascuola mi fa scegliere tra ciò che non amo e ciò che amo ancor meno . Quindi non lo compilerò .	1
151709775380496384	vuoi lavorare come social innovator per il governo monti ? invia il curriculum al ministro profumo URL_TOKEN TOPIC_avvisopubblico	0
532156818961600512	Votate sì ! La Buona Scuola - INSERIMENTO IN RUOLO DOCENTI SFP VECCHIO ORDINAMENTO URL_TOKEN TOPIC_labuonascuola	0
155265960394244097	Vorrei che tutti i quintali di pasta al forno che gli ora stiamo mangiando siano goduti alla faccia di Mario Monti e della EMOJI_504 e TOPIC_wl ' Ungheria	1
136750524518236160	Vorrei Che lo sforzo di Mario Monti fosse sostenuto e sorretto da una valanga di pensieri positivi . . Possibile ? In Italia ?	0
146197759299563521	Volantino TOPIC_Rifondazione per lo TOPIC_sciopero generale contro la TOPIC_manovra depressiva del TOPIC_governo TOPIC_monti URL_TOKEN	0
511444129306648576	"Voi siete il buono della scuola : fatelo capire ai teorici della "" buona scuola "" . Buon inizio ragazzi . TOPIC_primogiornodiscuola ( cit . )"	1
152677662530355201	Voi avete qualche notiziuccia fresca sull' armata brancaleone ? ( governo Monti )	1
132229805667127296	Vogliono fare il governo Monti o il governo Casini ? E se poi Silvio resiste ?	0
134409602623209472	Vogliamo il Presidente Mario Monti URL_TOKEN Presidente ! TOPIC_FullMonti	0
525223375955038208	Vogliamo anche al liceo l' alternanza scuola lavoro TOPIC_labuonascuola AUTHOR_TOKEN	0
521991421096898560	Vladimir Luxuria incontra Berlusconi . Chissà di che cazzo hanno parlato . [ AUTHOR_TOKEN ]	1
193073825712312321	Visto che una possibilità l' abbiamo data a tutti i mafiosi disponibili non vedo perchè non dovremmo ora dar la anche a TOPIC_Grillo .	0
561984988007370752	Visita alle Ardeatine , discorso di otto parole , messa all' alba e selfie con le suore . Al confronto Napolitano era Balotelli . [ AUTHOR_TOKEN ]	1
