id	preprotext	irony
1	Sweet United Nations video . Just in time for Christmas . TOPIC_imagine TOPIC_NoReligion URL_TOKEN	1
2	AUTHOR_TOKEN We are rumored to have talked to Erv 's agent . . and the Angels asked about Ed Escobar . . that 's hardly nothing EMOJI_572	1
3	Hey there ! Nice to see you Minnesota / ND Winter Weather	1
4	3 episodes left I am dying over here	0
5	I can not breathe ! was chosen as the most notable quote of the year in an annual list released by a Yale University librarian	1
6	You are never too old for Footie Pajamas . URL_TOKEN	0
7	Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree . .	1
8	4:30 an opening my first beer now gonna be a long night / day	0
9	AUTHOR_TOKEN do you think you would support a guy who knocked out your daughter ? Rice does not deserve support .	0
10	AUTHOR_TOKEN You are not allowed to open that until Christmas day !	0
11	Oh , thank GOD - our entire office email system is down . . the day of a big event . Santa , you know JUST what to get me for xmas .	1
12	But instead , I am scrolling through Facebook , Instagram , and Twitter for hours on end , accomplishing nothing .	0
13	AUTHOR_TOKEN EMOJI_825 no he bloody is not I was upstairs getting changed !	0
14	Cold or warmth both suffuse one 's cheeks with pink ( colour / tone ) . . Do you understand the underlying difference & its texture ?	0
15	Just great when you are mobile bill arrives by text	1
16	crushes are great until you realize they will never be interested in you . | EMOJI_39	1
17	Buffalo sports media is smarter than all of us . Where else can you get the quality insight offered by Harrington and Busgaglia .	1
18	I guess my cat also lost 3 pounds when she went to the vet after I have been feeding her a few times a day . | | TOPIC_Eating | TOPIC_food | | TOPIC_WorkingOut	0
19	AUTHOR_TOKEN AUTHOR_TOKEN trading a SP for a defense-only SS ? Brilliant trade .	1
20	But AUTHOR_TOKEN was trying to find us , and my battery died . Guess how he found us ? Yes , that bastard wand ! ! ! !	1
21	AUTHOR_TOKEN please do . . i need the second hand embarrassment so desperatly on my phone	1
22	I never cared for Beyonce , bc I could never get a sense of who she was . Her interviews lacked depth . AUTHOR_TOKEN tho . . this girl got IT .	0
23	AUTHOR_TOKEN time to hit the books then	1
24	AUTHOR_TOKEN THX 4FLW ! FLWtheMUSIC AUTHOR_TOKEN AUTHOR_TOKEN WE R TOPIC_ElektrikBLOOM TOPIC_ElektrikFANTASY TOPIC_iwant2DRIFT TOPIC_Elev8TheUnderground !	0
25	Love these cold winter mornings 😬 best feeling everr !	1
26	Amazingly URL_TOKEN is not owned by TOPIC_BHP . They are going to have to shell out some decent money for it . TOPIC_BHPBilliton TOPIC_South32	0
27	Wish she could have told me herself . AUTHOR_TOKEN TOPIC_nicolescherzinger TOPIC_OneLove TOPIC_myfav TOPIC_MyQueen EMOJI_694 ️ EMOJI_694 ️ URL_TOKEN	0
28	The rain has made extra extra lazy EMOJI_772	0
29	I was doing great with this summary of my year until I got to June_27th , and the weekend of AUTHOR_TOKEN ' s birthday . TOPIC_rivertrip TOPIC_groupchat	0
30	see , that MIGHT show up on a background check , and you 'd be denied its a catch 22 we have the right to self protection AUTHOR_TOKEN	0
31	Smh never knew something could be 80 % halal . . Been muslim my whole life but somehow i have learned something new i guess	1
32	A wonderful day of starting work at 6am	1
33	i feel like whole life is about waiting waiting and waiting	0
