id	preprotext	irony
811156813181841408	Zurigo , trovato morto il presunto autore della sparatoria nel centro islamico TOPIC_20dicembre URL_TOKEN	0
811183087350595584	Zurigo , trovato morto il presunto autore della sparatoria nel centro islamico - URL_TOKEN tramite URL_TOKEN	0
826380632376881152	"Zingari . . i soliti "" MERDOSI "" . . TOPIC_cacciamolivia Roma , i rom aggrediscono un 81enne per rapinar lo . Bloccati dai cittadini URL_TOKEN"	0
844871171350802432	Zingari di merda , tutti al muro . . bastardi Sparano ai carabinieri dopo la rapina : presi nel campo nomadi di Giugliano URL_TOKEN	0
509712824361570304	zero notizie decreto TOPIC_tfaordinario II ciclo zero notizie prove scritte . Alla faccia de TOPIC_labuonascuola . TOPIC_matteorenzi cosa stai aspettando ?	1
825719460971450369	Yemen , primo raid ordinato da Trump : uccisi 14 terroristi , ma c ’ è anche un morto fra i soldati Usa … URL_TOKEN	0
814037469704441856	Yao , i 3 rom si accusano a vicenda EMOJI_44 elusi dal bottino URL_TOKEN AUTHOR_TOKEN NO PROBLEM IN GALERA TUTTI E 3 FINE PENA MAI ! !	0
834492829854531602	YAHOO ! ! Scoperti 7 nuovi pianeti simili alla terra ! ! forse abbiamo trovato la soluzione per il ricollocamento dei migranti ! !	1
844312049173848065	x : non si entra nell' angolo rotture della Lidl rom : AAH URL_TOKEN	1
511658751427108866	x il ministro Giannini questo è l' anno della buona scuola , che è cambiato ? ci ha messo lo zucchero ? EMOJI_640 si possono più sentire tante str . .	1
507406864980901888	WOW ! ! ! Tra tre anni , FORSE , ci danno 60 euro ! ! ! Forza che da qui a un secolo raggiungiamo gli stipendi dei colleghi europei ! TOPIC_labuonascuola	1
518755434505568256	Wifi assente , nuovi modi di fare scuola , ( im ) preparazione del corpo docente . TOPIC_labuonascuola URL_TOKEN AUTHOR_TOKEN TOPIC_ischool	0
515282234371502081	Web-design tutto bello e colorato , ma TOPIC_labuonascuola mi fa scegliere tra ciò che non amo e ciò che amo ancor meno . Quindi non lo compilerò .	1
849218722183172096	W la scuola , w la cultura , w il razzismo , w i deliri e l' islamofobia per studenti e cittadini ! URL_TOKEN TOPIC_belpaese	1
151709775380496384	vuoi lavorare come social innovator per il governo monti ? invia il curriculum al ministro profumo URL_TOKEN TOPIC_avvisopubblico	0
