id	preprotext	irony
0	Weed wippin in the rain and lightning ! Always fun and not dangerous !	1
1	Almost got ran over today while crossing the street with the walk sign . I love people .	1
2	I like going to chem and learning about NASA . .	1
3	Did not even sleep on a pillow , this is gonna be fun for me with all this damn pain	1
4	Nothing like being in class two hours and having two hours to go ! TOPIC_TDE220	1
5	I love the sight of media trucks rolling up to campus on a Friday_morning TOPIC_letsflipthem	1
6	It bothers me that ' Beliebers ' are saying NOW ONLY they heard JB 's coming to SA ? . . Did u NOT see his tweet 2MONTHS AGO ? TOPIC_RealFans ?	1
7	AUTHOR_TOKEN because Fox is well-balanced and objective ?	1
8	The campus police here at USI are so friendly . They left me a nice little present on my car ! EMOJI_5 TOPIC_already * url *	1
9	"People protesting in favour of "" men 's affairs "" in front of Parliament - yes , the poor plight of the middle class white man . ."	1
10	I just love being called & woken up at 830am , after having been asleep only an hour , & screamed at by both my parents . So fun .	1
11	Oh yeah . Keep blasting call me maybe on the bus . TOPIC_loveit	1
12	what a lovely dream .	1
13	Thank God the Romney Campaign is really specific on their policies and do not lie to Americans straight to their face .	1
14	I can not even describe how excited I am to go cook noodles for 3 hours	1
15	I feel like I am going to throw up . . Today is going to be grand . EMOJI_802	1
16	I fucking love liars .	1
17	AUTHOR_TOKEN well I was not on a bout you anyway and thanks for telling me all about ur amazing holiday TOPIC_englandsgoodthanks	1
18	I always know its gonna be a good day when I wake up late and literally have 10 minutes to get ready	1
19	Oh wow , do not I feel loved ? ! Not in the mood for this day ! Bleh !	1
20	Best part of being a new mom : unwarranted , condescending advice from strangers .	1
21	"finding out the kid you "" dated "" in jr high is now in prison > > > TOPIC_solidlifechoice"	1
22	ohh the people who get to quit their jobs when they go back to school . . what a tough life TOPIC_Imjealous	1
23	Always said delaney was amazing TOPIC_fml	1
24	I really like how the rains just gunna mess up my hair  	1
25	5 hours of sleep . TOPIC_gonnabeagoodday TOPIC_shootme	1
26	I am really happy my kindle chose the day before I go on holiday to break TOPIC_heartbroken waa	1
27	I just love waking up being yelled at what a lovely morning	1
28	No really . I can sleep quite well while I am upset . TOPIC_gunnabealongnight	1
29	$ 2 for the next two weeks . Life 's awesome . TOPIC_minimumwagefor3years	1
30	"Being the "" third wheel "" is so much fun - no one TOPIC_swog"	1
31	Thanks a lot , Hotmail , for blocking me from my own account . So helpful !	1
32	I love Friday_morning practices	1
33	Yea , sure . I 'd love to do some heavy lifting up and downs some stairs in this heat	1
34	"AUTHOR_TOKEN if you are a "" terrorist "" with an AK47 then you get death pen . . what these guys did did not cause enough terror"	1
35	So excited for my family hike at 9 freaking o'clock in the morning ! 🏃 I love not sleeping in on my day off .	1
36	Man sleeping in is such a chore	1
37	Mum , please . I am not coming home cos i want to concentrate on my studies this weekend . I am trying to get 4 flat . For you , EMOJI_572	1
38	I love waiting in long lines for a parking permit TOPIC_blinnsucks	1
39	Homework is so fun ! ! TOPIC_notreally	1
40	Absolutely love being left to hang	1
41	Finding that out made me SO happy	1
42	Looking forward to school kids going back to school next week - NOT ! TOPIC_trafficjam	1
43	Yaay for going into to gr 12 but looking like a niner TOPIC_ShortGirlProblems	1
44	I love men that apologize and do not know why they have upset you in the first place , makes me smile to know you listened and adjusted	1
45	stressed and school hasnt even started TOPIC_shouldbeagoodyear	1
46	Lots of windshield time today , can not wait .	1
47	My oatmeal exploded in the microwave . What a great start to my day !	1
48	My favourite pre-work job : fixing a punctured bike tyre .	1
49	I love plans that never happen . Need to find something to do !	1
50	I love waking up at 7 on a day off	1
51	At the doctor . . can not wait to turn my head and cough ! TOPIC_violated TOPIC_itsjustcoldinhereiswear	1
52	wake up to do it all over again . TOPIC_fuckyeah !	1
53	25km cycle back from dropping car for a service , need to do lots of TOPIC_foamrolling then TOPIC_workout woohoo ! ! Actually love it no	1
54	Yayy I have my English class from 9:00 to 12:30 today ! This is going to be FUN ! EMOJI_802	1
55	I use to tell people the truth yet they never really know since I only speak sarcastically .	1
56	Oh wow broken up 4 days and you have moved on already , thanks , do not feel like shit at all .	1
57	Can already tell 3 hour Bio labs are gonna be loads fun . .	1
58	Thirsty Thursday 's make going to a Friday_morning class so much better	1
59	TOPIC_love being up early after getting no sleep	1
60	Would you like a medal for that ? Here you go . We are all so proud of you	1
61	AUTHOR_TOKEN great	1
62	Wow . . I can see you are really convicted . TOPIC_notimpressed	1
63	Nothing like waking up at 7 for a good ol ' Doctors Appointment . TOPIC_shootme	1
64	Driving with a neck ache is not safe . I can not turn my head to the left . . TOPIC_great TOPIC_overthis TOPIC_goaway	1
65	Great way to start the morning by dumping makeup all over myself ! TOPIC_woohoo	1
66	. . threw up , and had an anxiety / panic attack , but apart from that , pretty good first try ! TOPIC_thelifeofadancer TOPIC_dancerproblems	1
67	This 8:20 Friday class is gonna be grreat ! !	1
68	Awsome homework on the first day . That 's just what I wanted	1
69	I am boutta Jus get tatted Forreal now Lmao Sike nahh	1
70	I love the fact my neighbors decided to move all their furniture at this time at night	1
71	Arguing with my mom is the best . . lemme tell ya	1
72	I love when my retainers are super tight and make me talk so attractively ! TOPIC_NOT TOPIC_majorlisp	1
73	In pax river Maryland for work . Could it get any better than this ?	1
74	I love being able to not fall asleep .	1
75	Have to get blood work done this morning TOPIC_yay TOPIC_bestwaytostarttheday	1
76	I get to go to my brothers soccer game TOPIC_yay just what I wanted to do today EMOJI_716	1
77	“ AUTHOR_TOKEN : Abstinence-only sex ed dominates in state with highest teen pregnancy * url * Seems to be working	1
78	So excited for school ! TOPIC_jk TOPIC_h8school	1
79	Ahh do not you just love when Microsoft tells you that you are spelling your own name wrong	1
80	I love when I am doing dishes at work & the water spills all over me , its the best .	1
81	Just love getting lied to !	1
82	Spinners games are not fun when theyr with my fam . . quality start to the long weekend	1
83	Ever think about something so much it makes you stomach sick ? No ? Oh it 's just me . . TOPIC_gunnabeagoodday	1
84	Well that was a brilliant attempt at sleep .	1
85	Awesome more rain . Today couldnt get any more great . - .	1
86	Just another left-wing conspiracy by our America-hating President to make sure EVERYONE can vote . * url * TOPIC_VOTE	1
87	can not wait to make this 10 min walk to class to sit and listen to my bob barker lookin ass Prof talk for an hour fifteen .	1
88	double p . e now , loving life .	1
89	I love when my A / C decides to start making high pitch screeching noises in the middle of the night . Did not scare me at all TOPIC_wth	1
90	Gotta hand it to Apple , the kernel panic screen looks AMAZING on Retina TOPIC_actuallyquitepissedoff TOPIC_itkeepshappening	1
91	I just love missing the bus ! EMOJI_754	1
92	Well that was brilliant TOPIC_letdown	1
93	please jump up and down more . it 's soothing and makes it easier to sleep . TOPIC_reallystopmoving by 11pm preferably .	1
94	I think it 's soo cute when girls act dumb on purpose	1
95	Soo happy to be at work	1
96	Of course I have the earliest appointment at the dmv and the computers crashed last night TOPIC_greatmorning	1
97	so we trend TOPIC_DirectionersLoveBeliebers and they trend TOPIC_BeliebersHateDirectioners . . what a lovely fanbase they have there .	1
98	hockey gear smells the greatest on a hot day	1
99	The school board 's wisest budget cut has to be the one that includes new MacBook 's for faculty	1
100	Good job student finance is on top of things as per TOPIC_didntwantmoneyanyway TOPIC_notgunagetmwdown	1
101	Woo let us go wrestling conditioning ! TOPIC_goingtodie TOPIC_goodbyeeveryone	1
102	Thanks TOPIC_Isaac for making our first pep rally and home football game get cancelled ! ! TOPIC_JrBillies TOPIC_cheer 💨 💦 ☁ ☔	1
103	I think I have food poisoning . Joy .	1
104	I just attract all the really awesome guys EMOJI_524 TOPIC_nomeansno TOPIC_leavemealone	1
105	I was hoping just a LITTLE more shit could hit the fan this week .	1
106	I just love getting up this early to go into school TOPIC_sotired TOPIC_killme EMOJI_3	1
107	AUTHOR_TOKEN AUTHOR_TOKEN yeah that 's why we have not sold many season tickets ! TOPIC_Bendtnerthegreatwhitehope	1
108	Its so much fun hanging out with everyone speaking only Spanish . More drinks please . .	1
109	My train got cancelled . . Good way to start the day ! - . - TOPIC_Västtrafik	1
110	Wow , kids drinking vodka in the back of the room during a lecture . You guys are classy .	1
111	can not wait too get all sweaty in school EMOJI_768	1
112	So excited that my sister and her boyfriend are back today - . - AUTHOR_TOKEN	1
113	Reminder for August_27th_2013 : Stay in bed . Do NOT wake up until the 28th - / In love with this beautiful ( shitty ) monday ! TOPIC_theend	1
114	Well that was successful . . TOPIC_art TOPIC_wax TOPIC_waxart TOPIC_successful TOPIC_not TOPIC_heart TOPIC_rainbo AUTHOR_TOKEN Camborne , Cornwall * url *	1
115	Love my family TOPIC_youcanalldie	1
116	Have you ever been so cool that the only way you know how to park your car is by backing it into a parking spot ?	1
117	So excited to get up at 5 a . m . tomorrow ! ! ughh is it thursday yet ? ? ?	1
118	Injections are fun .	1
119	Went to sleep at 5pm woke at 2am . . Jet lag is just an all round good time	1
120	My husband has two days off from work . . We are spending it in the the hospital TOPIC_yippee	1
121	Breaking news : After the excitement of finishing filing all the B 's yesterday , today I start on the C 's . Work is so exciting ! EMOJI_524	1
122	love it when AUTHOR_TOKEN falls asleep on me . yeyeye that one , prick .	1
123	its amazing how much i cant stand edinboro and its professors right now TOPIC_itsgonnabeagoodyear	1
124	and the final textbook total plus tax comes to just under 400 $ TOPIC_great TOPIC_ripoffs	1
125	I love reading about people who got sexually mutilated . . TOPIC_not TOPIC_APUSH	1
126	Always lovely when the sisters home for a visit . .	1
127	today should be fun TOPIC_dying	1
128	Thank you alarm clock for never going off . TOPIC_hatebeinglate	1
129	Going in to work for 2 hours was totally worth the 35 min drive !	1
130	Luv walkin up 20 flights of stairs just 2 get 2 work .	1
131	Getting pulled over is a great way to start my morning !	1
132	If I could put into words how much I love waking up at 5 am on Tuesday 's I would . . EMOJI_802	1
133	This tweet is for you mom , please stalk me some more	1
134	When your mom goes partying for her 40th birthday in Tunisia and you are stuck at home reading books , living the life	1
135	So glad Smithson turned into a bitch . .	1
136	"Wow ! You wore your "" Tom 's "" and brought your dog to Chickabiddy ! ! You must be the coolest people in Morehead . . glad I could see you ."	1
137	AUTHOR_TOKEN Surely Juventus are not big enough for the greatest footballer the world has ever seen	1
138	Didnt sleep lots last night , good thing my computer is down and i get to do nothing at work . TOPIC_pissed	1
139	Yeah mom and dad . I love you too TOPIC_thanksforhatingme	1
140	I love when nobody answers me . TOPIC_OHYES	1
141	thank god it 's raining so now my hair will look fabulous for my senior pictures	1
142	absolutely LOVE coming back to work - to a day of nothing but mtgs	1
143	Oh my word ! ! ! That did not just happen ! ! ! GREAT someone is having right good laugh surely TOPIC_cheers	1
144	Oh Great , another shooting , Thank you TOPIC_NRA for these TOPIC_Guns to Protect ourselves	1
145	AUTHOR_TOKEN woow pwrfect then you need wait at home ready , waiting their call , very funny	1
146	you know what a great feeling is ? getting the exfoliating beads from face wash in your eye . TOPIC_ilooklikeihavepinkeye	1
147	Dear Arkansas , could you possible make it even hotter ?	1
148	Oh u can ride ur bike with no hands ? Your so impressive	1
149	I hate it when I do not forward a chain mail and I die the next day .	1
150	I love it when you put your hand in my face while you sleep EMOJI_5	1
151	LOVE Being Called into Work on My Day Off !	1
152	Have not been able to sleep , so I have been playing Words With Friends and Angry Birds all night . What a thrilling life I lead .	1
153	God I love waking up for 8am classes TOPIC_shitnooneeversays	1
154	Have almost never not been body checked by security at the airport	1
155	Well that was fun . . but not really . TOPIC_fml TOPIC_whybother	1
156	Can not wait to sit through 6 hours of lab tonight ! 👍	1
157	TOPIC_FavoriteThings : when Darth baby will not stop screaming long enough to eat . Is it Wednesday yet ? !	1
158	Really looking forward to cycling through the rain .	1
159	Yep that rapping guy TOTALLY makes me want to go to your school . . TOPIC_icdccollege	1
160	Oh damn , no more Jersey Shore . TOPIC_Stupidshow TOPIC_Cancelled	1
161	Wow . . the first day I have ever been to UT and G10 lot was full . What a pain I the ass to find parking . . TOPIC_greatdaysofar	1
162	There is nothing like a fuel spill to make my morning commute even better .	1
163	I 'd like to give a shout out to all the people who text me for a minute then stop responding . You make dreams a reality TOPIC_whybother	1
164	Please send me more invites to get the dislike button . The first 500 were clearly not enough .	1
165	I really like walking around with 2 diff color flops casue my mom packs mine and says their hers	1
166	AUTHOR_TOKEN hahahahahaha yes Sa'eed , cos you are the only person I ever think about TOPIC_youfunny	1
167	Having to go to college today to enroll for the second time TOPIC_funtimes	1
168	Being allergic to my own house is one of the greatest things ever . TOPIC_superannoyed	1
169	No my roommate play out of tune Zeppelin songs right outside my door isnt annoying . Not at all TOPIC_sigh	1
170	Oh yeah . . You are really making an effort . . EMOJI_524	1
171	So glad I am retaking physics . It 's even more fun the second time around ! Asian Accents are so easy to understand !	1
172	packing is so much fun ! TOPIC_notenoughboxes	1
173	If you are going into highschool and cant do at least 4 pirouettes you obviously go to a fantastic studio	1
174	Powering through these physics questions . . Getting them all wrong in the process EMOJI_44 . Yuss !	1
175	Tweeting at work . . Having soo much fun and honestly not bored at all TOPIC_countdowntillfinish	1
176	AUTHOR_TOKEN AUTHOR_TOKEN pfft Ya right and I am related to Jesus	1
177	ah the elephants are awake upstairs . fantastic	1
178	Can not wait to wake up early to babysit !	1
179	This weekend is gonna fucking suck TOPIC_cantwait	1
180	Yay . School . If you could only see the joy on my face .	1
181	Oh I just love it when people come to work sick . I can not wait to get bronchitis too .	1
182	yay for awkward 2 hour breaks between classes	1
183	that 's cool , dangelos , take your time making my food . . it 's not like I have a time limit for my break or anything . . TOPIC_annoyed	1
184	my legs are so sore . and I have sunburn on my scalp . band camp is getting off to a great start .	1
185	It 's great when the one thing you do not want to think about , is the only thing you can think about .	1
186	Please everyone post a picture of opening ceremony to Facebook .	1
187	AUTHOR_TOKEN I just love TSwift so much ! ! TOPIC_bleedingears TOPIC_lookslikearat	1
188	Two tests one right after the other . . TOPIC_great EMOJI_803 EMOJI_808	1
189	Yay for an 8am class on Friday .	1
190	Ahh it makes me feel really special and loved when you do not text me back ! EMOJI_497	1
191	Love working on my last day of summer . .	1
192	Love being left alone in the hall while people go and sing TOPIC_loner	1
193	Cool lets not fix the things you do not need parts for and do not tell me we need to order other parts TOPIC_solid	1
194	Gotta love working till 5 am on a 15 hour shift	1
195	Do you know what I love ? Apartment construction at 7 a . m . 3 mornings in a row ! TOPIC_timeforbed	1
196	Oh no , it 's okay . I would love to just sit around waiting in financial aid all day because its not like I have anything else to do	1
197	We need Mitt Romney running the UK . Magically going to cut taxes , cut deficit , create jobs , sort out energy and health . Amazing	1
198	I love it when the bus smells like cat piss and dirty laundry ! TOPIC_winnipegtransit TOPIC_Winnipeg	1
199	Class , sleep , class , work . TOPIC_yayy	1
200	Please keep ignoring me for all of senior year . It 's not like we are friends with the exact same people . TOPIC_thingsimiss TOPIC_you	1
201	Oh so that 's how you brew beer , thanks Sapporo ! TOPIC_dumbcommercial	1
202	"I totally enjoy when my managers tell me I look "" hit "" all the time ."	1
203	Guys ! ! Guys ! ! School I about to start ! Guys school is gonna Start ! ! EMOJI_44	1
204	doing my favorite thing . . crying	1
205	Yay for Toms tans ! TOPIC_thisisnotcute	1
206	Yeah let us just put all of my business in the open TOPIC_Thanks	1
207	I just love geometry SOO much TOPIC_notreally	1
208	Please call your skinny self fat one more time . TOPIC_youdontknowwhatfatis	1
209	Being covered in hives is so fun .	1
210	Realizing that you only shaved one leg TOPIC_superattractive	1
211	Yay for 3 hour chem labs .	1
212	I love waking to everyone being rude to me . Today 's gonna be fantastic	1
213	Love that my phone freezes EMOJI_524	1
214	Yee ! ! ! College class in the A . M is where its at boii ! ! ! WOO ! ! . .	1
215	Who knew calc could be so fun ? AUTHOR_TOKEN TOPIC_whyarewetakingthisclass	1
216	Looking forward to hearing what momma g ( Gwyneth ) wants us ' LAM ' students to do over the next two years . . EMOJI_802 TOPIC_cantwait TOPIC_great	1
217	Physical therapy again . Woohoo	1
218	At least my alarm woke me up in time for class this morning	1
219	Every 3 year old needs a Facebook or a Twitter . Because they really care about that . TOPIC_stupid	1
220	crazy busy day with what began AUTHOR_TOKEN with the maintenance man arriving to inspect . beautiful start to my friday	1
221	Nothing like the smell of browning ground beef at 645 in the morning . TOPIC_multitasking	1
222	Gonna have to do another unfollow spree later today , yeah , those are always fun . TOPIC_DamnYouFollowLimit	1
223	Oh my . . Jersey Shore is on its last season . . I think I need a tissue TOPIC_ThankChrist lol	1
224	I can not even wait to go sit at this meeting at the highschool	1
225	Gotta take my brother to the cinema today ^ __ ^ TOPIC_WhatJoy TOPIC_SocialSuicideEtc	1
226	Locking your keys in your car at school is the best feeling in the entire world .	1
227	Awee how cute . The kids at the bus stop coordinated their outfits today . TOPIC_itsnotcute	1
228	AUTHOR_TOKEN duh nigga I text u even tho u do not reply that 's deep fine ( nes ) just can not simp like them other 67 likes lbs	1
229	Yay it 's 3 hour clinical day . I am so freaking excited I can not stand it .	1
230	Single parenting I was built for this shit	1
231	I enjoy tweeting AUTHOR_TOKEN and not getting a reply	1
232	AUTHOR_TOKEN u mean like real Madrid is the best team ever TOPIC_biggestlie	1
233	Today is going so well . .	1
234	Homework EMOJI_25 TOPIC_calculus TOPIC_physics TOPIC_1302 TOPIC_ohwhatjoy	1
235	Love waking up super early	1
236	Hey it 's time to get all cocky ! TOPIC_haverespect	1
237	absolutely delighted to still be awake at this hour . TOPIC_fml	1
238	AUTHOR_TOKEN AUTHOR_TOKEN AUTHOR_TOKEN AUTHOR_TOKEN * url * Watch This . . And if u have some shame left show this on ur channel	1
239	AUTHOR_TOKEN I loove how celebs show so much tolerance and love	1
240	I just love it when people don ’ t text me back .	1
241	Do not you just love a flat tyre in the morning	1
242	Say thanks to the girl that fucked us up .	1
243	Man , Robinson Cano could be the laziest MVP ever TOPIC_bigtimesarcasm	1
244	I love the fact that my mom woke me up .	1
245	Well today was just great . TOPIC_annoyed	1
246	""" Oh hey , let me talk to another dentist about our kids field trips while i poke the shit outta your mouth ! "" I love the dentist ."	1
247	Yay for 4 and a half hour sleep . TOPIC_tootired TOPIC_needbednow	1
248	""" Everything Happens For A Reason "" . . Yeah I Just Fall Down The Fucking Stairs So I Went To Hospital On Purpose ."	1
249	"AUTHOR_TOKEN "" South Dakota School of Mines is so good at football TOPIC_shitnobodyatundsays "" they are division 3 . . TOPIC_youguysaresogood"	1
250	Six hours of sleep is perfect . . TOPIC_not	1
251	Yeah , I am all about to marry someone serving life in prison . Makes perfect sense .	1
252	TOPIC_RIPJerseyshore how u will be missed ha	1
253	I love when people favorite a tweet but dont retweet TOPIC_notserious	1
254	So happy to just find out uoit decided to reschedule all my lectures and tutorials for me to night classes at the exact same times !	1
255	Oh no new texts ? What a surprise !	1
256	Walking into work on an overtime day to have to train a new supervisor who looks like your jerky ex 's twin makes for an awesome day	1
257	Can not wait until Friday when we get to wear our band uniforms in 90 degree weather EMOJI_825 EMOJI_62	1
258	I love being talked to like a dog !	1
259	Man I love being up early	1
260	I love being talked down to TOPIC_ihatemen	1
261	Ah only 2 full years to wait until I can start college , not long at all !	1
262	I do not think I will be able to make it through a whole day tomorrow at school without breaking down . So that 's cool .	1
263	Please oh please , sense the .	1
264	Love waking up to dig puke piles in the morning ! TOPIC_loveit	1
265	love how I can not even sleep in anymore	1
266	Know what 's great ? Waking up at 4am for no reason	1
267	I love getting yelled at . It 's the best feeling . Guess children do everything wrong TOPIC_Whoops TOPIC_OurFault	1
268	is not it absolutely fantastic that school starts up in four days is not that just fab can not wait	1
269	took sleeping meds 3 hours ago , glad to see they are working - . - TOPIC_fucker	1
270	Thanks for telling us the class catalogue was finally up for DL four days before school starts . TOPIC_ohwait TOPIC_slc	1
271	everytime i go to the pub at least one person tells me my mum is hot / fit / stunning / milf / etc . . - makes me feel great EMOJI_577	1
272	morning people . roadtrip today . unfortunately that means sitting in the car with my family for 3 or 4 hours . yay !	1
273	My tech class has 13 people in it . . 10 of them are freshmen . TOPIC_excitement	1
274	It 's great when you are mom wakes you up just to yell at me then she yells at me the entire morning TOPIC_todaysgomnabeawesome TOPIC_annoyed	1
275	Bronchitis , eat infection and a fever . Makes for a great start to my labor day weekend	1
276	Running on 3 hours of sleep . . Did not even touch my humanities hw . . Good start to a good day .	1
277	I love waking up to shit like that . Today is already not starting off good . TOPIC_hurt	1
