id	preprotext	irony
811156813181841408	Zurigo , trovato morto il presunto autore della sparatoria nel centro islamico TOPIC_20dicembre URL_TOKEN	0
811183087350595584	Zurigo , trovato morto il presunto autore della sparatoria nel centro islamico - URL_TOKEN tramite URL_TOKEN	0
826380632376881152	"Zingari . . i soliti "" MERDOSI "" . . TOPIC_cacciamolivia Roma , i rom aggrediscono un 81enne per rapinar lo . Bloccati dai cittadini URL_TOKEN"	0
844871171350802432	Zingari di merda , tutti al muro . . bastardi Sparano ai carabinieri dopo la rapina : presi nel campo nomadi di Giugliano URL_TOKEN	0
825719460971450369	Yemen , primo raid ordinato da Trump : uccisi 14 terroristi , ma c ’ è anche un morto fra i soldati Usa … URL_TOKEN	0
814037469704441856	Yao , i 3 rom si accusano a vicenda EMOJI_44 elusi dal bottino URL_TOKEN AUTHOR_TOKEN NO PROBLEM IN GALERA TUTTI E 3 FINE PENA MAI ! !	0
834492829854531602	YAHOO ! ! Scoperti 7 nuovi pianeti simili alla terra ! ! forse abbiamo trovato la soluzione per il ricollocamento dei migranti ! !	1
844312049173848065	x : non si entra nell' angolo rotture della Lidl rom : AAH URL_TOKEN	1
849218722183172096	W la scuola , w la cultura , w il razzismo , w i deliri e l' islamofobia per studenti e cittadini ! URL_TOKEN TOPIC_belpaese	1
847544674235625472	VoxNews : Assessore PD fonda ONG che aiuta profughi a fare ricorso a spese nostre : Da una ricerca condotta dall … URL_TOKEN	0
826944515114225664	Vorrei un campo rom vicino la casa di tutti quei buonisti e moralisti che predicano così bene !	1
847175823668989954	Vorrei sapere per quanti anni un giovane musulmano rimane praticante . Dopo un po ' se ne fregano della religione TOPIC_GABBIAOPEN	0
824695235817115650	Vorrei fare con te come TOPIC_Salvini ai rom con le ruspe	1
800789580677054464	Vorrei dire una cosa in favore dei TOPIC_rom che nessuno dice mai . Fatto . TOPIC_dallavostraparte	1
835151283053019136	Vorrei avere piú caratteri per discutere civilmente del caso della rom urlatrice , per esempio .	0
555300866555904000	Vorrei anche io fare battute sul profeta islamico , ma ometto TOPIC_sapevatelo	1
785211366609125376	Volevo caricare la mia bici in macchina ma per fisica ci siamo accorti che era più grande la bici della macchina e sembravamo ladri rom	1
553183622686343169	Volevo avvisare tutti i terroristi Islamici che mi seguono : TOPIC_barbaradurso ha ripreso a fare giornalismo . .	1
